일련번호,번호,명칭,명칭(원문),요약,요약(원문),출원인,출원인영문명,출원인국가,출원인대표명,발명자,국제특허분류,공통특허분류,미국특허분류,출원번호,출원일,공개번호,공개일,공고번호,공고일,등록번호,등록일,우선권번호,국제출원번호,국제출원일,국제공개번호,국제공개일,INPADOC 패밀리,심사관,대리인,지정국가,독립 청구항수,전체 청구항수,대표 청구항,대표 청구항(원문),전체 청구항,전체 청구항(원문),권리 현황,최종 상태,현재소유자,권리만료예상일,자국인용특허,외국인용특허,자국피인용특허,자국인용횟수,자국피인용횟수,특허평가등급,특허평가점수,발명자평가평균등급,발명자평가평균점수,FI,F-Term,INPADOC패밀리수,INPADOC패밀리국가수,발명자수,Genealogy수,INPADOC패밀리국가,소유권이전여부,소유권최종양도일,특허전문 Link
1464,USD590755,Front bumper for a vehicle,,,,Bayerische Motoren Werke Aktiengesellschaft,,DE,BAYERISCHE MOTOREN WERKE AG,Habib; Karim,1216,,D12/169,US29/309033,2008.06.12,,,,,USD590755,2009.04.21,DE 40706251 (2007.12.13),,,,,"USD586713S, USD590755S, USD593000S, USD593016S, USD593396S, USD593915S, USD596546S, USD597004S, USD597011S, USD600185S",Brown; Melody N,Crowell & Moring LLP,,1,1,,,"The ornamental design for a front bumper for a vehicle, as shown and described.",,Alive,Alive,BAYERISCHE MOTOREN WERKE AG,2023.04.21,"USD479699,USD536285,USD546737,USD570261,USD576926,USD579831",,"USD606465,USD637124,USD638758,USD725007,USD732444,USD733019",6,6,,,A-,6,,,10,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590755__?key=lEQ7cgkI3IuhPoFpecK1f%2fjAfS2Uu%2bbv&site=FOCUST3-KR
1465,USD590754,Vehicle grille,,,,Ford Motor Company,,US,FORD MOTOR CO,Woolley; Richard|Lucas; Earl|Carbis; Dean|Park; Dong|Boyd; Michael,1216,,D12/169,US29/306441,2008.04.09,,,,,USD590754,2009.04.21,,,,,,USD590754S,Brown; Melody N,"Porcari, Damian",,1,1,,,"The ornamental design for a vehicle grille, shown and described.",,Alive,Alive,FORD MOTOR CO,2023.04.21,"USD514989,USD527317,USD555550,USD561068",,"USD613209,USD664480,USD721302,USD730252,USD730784,USD780645",4,6,,,A0,7,,,1,1,5,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590754__?key=lEQ7cgkI3IuhPoFpecK1fwfMNePTb%2bUE&site=FOCUST3-KR
1466,USD590753,Vehicle upper bumper cover,,,,Ford Motor Company,,US,FORD MOTOR CO,Williams; Bruce P.|Tant; Sean W.|Bucher; George|Schiavone; Patrick J.,1216,,D12/169,US29/306169,2008.04.03,,,,,USD590753,2009.04.21,,,,,,USD590753S,Brown; Melody N,"Porcari, Damian",,1,1,,,"The ornamental design for a vehicle upper bumper cover, shown and described.",,Alive,Alive,FORD MOTOR CO,2023.04.21,"USD491119,USD491848,USD492627,USD494898,USD497577,USD539197,USD560145",,"USD600606,USD601063,USD603764,USD603765,USD608261,USD614090,USD614099,USD614555,USD617695,USD623104,USD644574,USD646607,USD667341,USD671047,USD708995,USD740726,USD751007,USD753036,USD771536,USD775025,USD775026,USD788658",7,22,,,A0,7,,,1,1,4,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590753__?key=lEQ7cgkI3IuhPoFpecK1fyIFEBbiXL2P&site=FOCUST3-KR
1467,USD590752,Vehicle lower bumper cover,,,,Ford Motor Company,,US,FORD MOTOR CO,Williams; Bruce P.|Tant; Sean W.|Bucher; George|Schiavone; Patrick J.,1216,,D12/169,US29/306168,2008.04.03,,,,,USD590752,2009.04.21,,,,,,USD590752S,Brown; Melody N,"Porcari, Damian",,1,1,,,"The ornamental design for a vehicle lower bumper cover, shown and described.",,Alive,Alive,FORD MOTOR CO,2023.04.21,"USD491119,USD491848,USD492627,USD494898,USD497577,USD548146,USD556653,USD560144,USD579386",,"USD618143,USD713305,USD737181,USD775013,USD776582,USD777617,USD777619,USD778213,USD788658,USD792817,USD792818",9,11,,,A0,7,,,1,1,4,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590752__?key=lEQ7cgkI3IuhPoFpecK1f1d4GKs3x4Q9&site=FOCUST3-KR
1468,USD590747,Five passenger pedaled vehicle,,,,,,,,Staller; Eric,1211,,D12/107,US29/296903,2007.10.31,,,,,USD590747,2009.04.21,,,,,,USD590747S,Webster; Robin V|Brooks; Linda,"Moldrem, Jr., Bernhard P.",,1,1,,,"The ornamental design for a five passenger pedaled vehicle, as shown and described.",,Alive,Alive,,2023.04.21,"US3175843,US3664684,US3794352,US4093258,US4093260,USD266556,USD289271,USD301216,US6012732,USD520913",,"US7861658,US8523210",10,2,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590747__?key=lEQ7cgkI3IuhPoFpecK1f3Cnst6lxUqh&site=FOCUST3-KR
1469,USD590744,Hood for an armored vehicle,,,,"Force Protection Technologies, Inc.",,US,FORCE PROTECTION TECHNOLOGIES INC,Hammick; Murray P.,1213,,"D12/012, D12/173",US29/287488,2007.08.14,,,,,USD590744,2009.04.21,,,,,,USD590744S,Nelson; T. Chase|Dworzecka; Ania K,"Finnegan, Henderson, Farabow, Garrett & Dunner, L.L.P.",,1,1,,,"The ornamental design for a hood for an armored vehicle, as shown and described.",,Alive,Alive,FORCE PROTECTION TECHNOLOGIES INC,2023.04.21,"US4242951,USD270526,USD315327,USD323305,USD427119,USD474716,USD476273,USD484438,USD488749,USD493753,USD510305,USD518761,USD520418,USD538210,USD541198,USD548646,USD548647,USD548651,USD552507,USD556090,USD563272,USD563293,USD570753",,"USD756265,USD784219,USD785504",23,3,,,C,2,,,1,1,1,0,US,Y,2008.06.26,http://service.wisdomain.net/FullTextService/View/USD0590744__?key=lEQ7cgkI3IuhPoFpecK1f03kOkVGCt3y&site=FOCUST3-KR
1470,USD590743,Modular vehicle,,,,"Walters & Clune, LLC",,US,WALTERS & CLUNE LLC,Waters; Raul J.|Clune; Gordon W.|Glenn; Cody I.|Kacaba; Michael|Lehnhardt; Aaron,1213,,"D12/012, D12/001",US29/265257,2006.08.28,,,,,USD590743,2009.04.21,,,,,,USD590743S,Nelson; T. Chase|Dworzecka; Ania K,Fulwider Patton LLP,,1,1,,,"The ornamental design for a modular vehicle, as shown and described.",,Alive,Alive,WALTERS & CLUNE LLC,2023.04.21,"US3176585,USD217056,USD223817,US4114716,US5191166,US6584881,US6907812,2003/0089220(US6691600),2005/0284682(US7228927),2006/0005695",,"USD630268,USD632613,USD661224,USD676502,USD738784",10,5,,,C,2,,,1,1,5,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590743__?key=lEQ7cgkI3IuhPoFpecK1f2eOgYkeetgR&site=FOCUST3-KR
1471,USD590612,Car seat,,,,BYD Company Limited,,CN,BYD CO LTD,Zhang; Jun|Jiang; BoFu|Dan; Ka,601,,D06/356,US29/326357,2008.10.16,,,,,USD590612,2009.04.21,,,,,,USD590612S,De; Mimosa,"Greenberg Traurig, LLP",,1,1,,,"The ornamental design for a car seat, substantially as shown and described.",,Alive,Alive,BYD CO LTD,2023.04.21,"US5704685,US5829833,USD535485,USD536188,USD542041,USD576811,USD578315,2006/0071529(US7178865)",,"USD614879,USD650188,USD650189,USD718948,USD723825,USD749334,USD774319,USD778080,USD792727,USD792728",8,10,,,B0,4,,,1,1,3,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590612__?key=lEQ7cgkI3IuhPoFpecK1f5eap0GLQx9G&site=FOCUST3-KR
1472,USD590611,Vehicle seat,,,,"Honda Motor Co., Ltd.",,JP,HONDA MOTOR CO LTD,Higashida; Dai,601,,D06/356,US29/319935,2008.06.17,,,,,USD590611,2009.04.21,,,,,,USD590611S,De; Mimosa,"Plumsea Law Group, LLC; Duell, Mark E.",,1,1,,,"The ornamental design for a vehicle seat, as shown and described.",,Alive,Alive,HONDA MOTOR CO LTD,2023.04.21,"US5704685,US5829833,USD535485,USD536188,USD542041,USD576811,USD578315,2006/0071529(US7178865)",,"USD614879,USD639575,USD779218",8,3,,,B+,5,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590611__?key=lEQ7cgkI3IuhPoFpecK1f6aFpNJ%2bHrlC&site=FOCUST3-KR
1473,USD590527,Headlight for a vehicle,,,,Daimler AG,,DE,DAIMLERCHRYSLER CORP,Pfeiffer; Peter,2606,,D26/028,US29/290337,2007.11.21,,,,,USD590527,2009.04.14,EM 000728498-0001 (2007.05.24),,,,,"USD590526S, USD590527S",Jackson; Marcus A.,Crowell & Moring LLP,,1,1,,,"The ornamental design for a headlight for a vehicle, as shown and described.",,Alive,Alive,DAIMLERCHRYSLER CORP,2023.04.14,"USD517228,USD521900,USD525169,USD526933,USD546486,USD554780,USD560291,USD561358,USD563576",,,9,0,,,AA,9,,,2,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590527__?key=lEQ7cgkI3IuhPoFpecK1f%2fMLIfrIricT&site=FOCUST3-KR
1474,USD590526,Taillight for a vehicle,,,,Daimler AG,,DE,DAIMLERCHRYSLER CORP,Pfeiffer; Peter,2606,,D26/028,US29/290336,2007.11.21,,,,,USD590526,2009.04.14,EM 000728498-0002 (2007.05.24),,,,,"USD590526S, USD590527S",Jackson; Marcus A.,Crowell & Moring LLP,,1,1,,,"The ornamental design for a taillight for a vehicle, as shown and described.",,Alive,Alive,DAIMLERCHRYSLER CORP,2023.04.14,"USD521900,USD525169,USD526933,USD552769,USD553269,USD560292,USD561357,USD570015,USD574524",,,9,0,,,AA,9,,,2,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590526__?key=lEQ7cgkI3IuhPoFpecK1f7pP%2bSnXb3G6&site=FOCUST3-KR
1475,USD590525,Automotive lamp,,,,,,,,Yang; Hsiu Pen,2606,,D26/028,US29/269792,2006.12.08,,,,,USD590525,2009.04.14,,,,,,USD590525S,Jackson; Marcus A.,,,1,1,,,"I claim the ornamental design for the automotive lamp, as shown and described.",,Alive,Alive,,2023.04.14,"USD518198,USD523572,USD532535",,"USD613649,USD760934,USD775384",3,3,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590525__?key=lEQ7cgkI3IuhPoFpecK1f7WyXOICK6%2fk&site=FOCUST3-KR
1476,USD590353,Vehicle electrical center cover,,,,"Littelfuse, Inc.",,US,LITTELFUSE INC,"Hood; Kerri Michelle|Urrea; Julio Cesar|Harris, IV; Edwin J.|Rygiel; Ronald Michael",1303,,"D13/178, D13/160, D13/177",US29/317165,2008.04.23,,,,,USD590353,2009.04.14,,,,,,USD590353S,Bui; Daniel D|Johannes; Thomas J,"Bell, Boyd & Lloyd LLP",,1,1,,,"We claim the ornamental design for a vehicle electrical center cover, as shown and described.",,Alive,Alive,LITTELFUSE INC,2023.04.14,"US1484448,US1513691,US1522729,US1529773,US1555930,US1631178,US1638257,US1650252,US1700582,US1714790,US1715799,US1721098,US1732265,US1735072,US1805725,US1817521,US1821987,US1832796,US1833158,US1851471,US1856423,US1863932,US1880543,US1888854,US1917861,US1917862,US1965410,US2011654,US2086727,US2145154,US2158655,US2163460,US2239660,US2264260,US2271693,US2334550,US2524004,US2851671,US3268692,US3299236,US3354356,US3486154,US3704438,US3796978,US3967164,US3993395,US4221455,US4221456,US4226493,US4278316,US4332002,US4371743,US4390225,US4432594,US4544907,USD284853,US4721862,US4722701,US4761148,US4768968,US4810991,US4830631,US4837546,US4845708,US4846733,US4880398,USD305531,US4921450,US4941851,USD321683,USRE33877,US5116246,US5125855,US5150094,US5277626,US5324214,US5365395,USD359682,US5476396,US5488345,USD367818,US5515023,US5629663,US5632654,USD381010,US5643693,US5659283,US5680088,US5831827,USD406111,USD408368,US5906514,USRE36317,US5949148,US6186633,US6215173,USD451393,US6431880,US6437986,US6443771,US6457995,US6504468,US6560123,US6700081,US6724291,USD490381,US6753718,US6757180,US6878004,US6881909,US6992945,USD517996,US7071427,USD528998,US7265289,US7315006,US7344415,US7367465,2005/0040718(US7061150),2006/0258218(US7179126)",,"USD650629,USD703622",120,2,,,B+,5,,,1,1,4,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590353__?key=lEQ7cgkI3IuhPoFpecK1f%2fVjgPXPD621&site=FOCUST3-KR
1477,USD590320,Front face of a vehicle wheel,,,,Daimler AG,,DE,DAIMLERCHRYSLER CORP,Scheu; Armin,1216,,D12/211,US29/290691,2008.01.03,,,,,USD590320,2009.04.14,EM 000751722-0001 (2007.07.04),,,,,"USD589427S, USD589428S, USD590320S",Brooks; Cathron C|Murphy; Austin,Crowell & Moring LLP,,1,1,,,"The ornamental design for a front face of a vehicle wheel, as shown and described.",,Alive,Alive,DAIMLERCHRYSLER CORP,2023.04.14,"USD402251,USD405749,USD413853,USD421953,USD457118,USD473836,USD493404,USD494525,USD503668,USD504097,USD521438,USD526610,USD528962,USD537026,USD542728,USD558118,USD584210",,"USD618149,USD619075,USD620425,USD623111,USD623116,USD625244,USD638765,USD638766,USD655233,USD657728,USD659063,USD737190",17,12,,,A+,8,,,3,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590320__?key=lEQ7cgkI3IuhPoFpecK1f96PiVwhjX%2bT&site=FOCUST3-KR
1478,USD590319,Front face of a vehicle wheel,,,,Bayerische Motoren Werke Aktiengesellschaft,,DE,BAYERISCHE MOTOREN WERKE AG,Juergens; Dirk|Mueller; Rainer,1216,,D12/211,US29/290532,2007.12.13,,,,,USD590319,2009.04.14,DE 4 07 03 114 (2007.06.14),,,,,"USD575715S, USD582331S, USD589425S, USD590319S, USD594396S",Cadmus; Stacia,Crowell & Moring LLP,,1,1,,,"The ornamental design for a front face of a vehicle wheel, as shown and described.",,Alive,Alive,BAYERISCHE MOTOREN WERKE AG,2023.04.14,"USD503668,USD504097,USD504381,USD516002,USD521438,USD537026,USD540238,USD542728,USD548160,USD558118,USD581851",,"USD608711,USD621765,USD623115,USD625235,USD625675,USD626053,USD631816,USD639716,USD644977,USD650315,USD651961,USD659068,USD663670,USD673096,USD682764,USD721026,USD723987,USD723988,USD741237,USD744402,USD749029,USD749483,USD786764",11,23,,,AA,9,,,5,1,2,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590319__?key=lEQ7cgkI3IuhPoFpecK1f7YB0FNlZcIx&site=FOCUST3-KR
1479,USD590318,Front face of a vehicle wheel,,,,Daimler AG,,DE,DAIMLERCHRYSLER CORP,Theiss; Peter,1216,,D12/211,US29/290273,2007.11.13,,,,,USD590318,2009.04.14,EM 000722376-0004 (2007.05.14),,,,,"USD589424S, USD589426S, USD590318S, USD591217S, USD594397S",Cadmus; Stacia,Crowell & Moring LLP,,1,1,,,"The ornamental design for a front face of a vehicle wheel, as shown and described.",,Alive,Alive,DAIMLERCHRYSLER CORP,2023.04.14,"USD348243,USD350932,USD380431,USD438162,USD483714,USD499685,USD502677,USD516989,USD517970,USD525932,USD535604,USD548162,USD558117",,"USD604684,USD608710,USD622202,USD625676,USD634689,USD638339,USD663669,USD675969,USD721630,USD727828,USD741773,USD769167,USD780660,USD780661,USD784896,USD790429,USD791034",13,17,,,B0,4,,,5,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590318__?key=lEQ7cgkI3IuhPoFpecK1f6suqb7ovlvL&site=FOCUST3-KR
1480,USD590317,Front face of a vehicle wheel,,,,"Wheel Pros, Inc.",,US,WHEEL PROS INC,Chung; Suny,1216,,D12/211,US29/262141,2006.06.27,,,,,USD590317,2009.04.14,,,,,,USD590317S,Cadmus; Stacia,"Wu, Charles C. H.; Wu & Cheung, LLP",,1,1,,,"The ornamental design for the front face of a vehicle wheel, as shown.",,Alive,Alive,WHEEL PROS INC,2023.04.14,"USD428379,USD453136,USD474440,USD500726,USD506172,USD514496,USD516989,USD516990,USD520437",,"USD609154,USD615917,USD616801,USD638763,USD639228,USD641678,USD647449,USD659063,USD680485,USD684101,USD691543,USD698299,USD704118,USD764374",9,14,,,AA,9,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590317__?key=lEQ7cgkI3IuhPoFpecK1fwfrmFIvr7yP&site=FOCUST3-KR
1481,USD590315,Automotive wheel,,,,,,,,Chung; Suny,1216,,D12/209,US29/312054,2008.09.29,,,,,USD590315,2009.04.14,,,,,,USD590315S,Cadmus; Stacia,,,1,1,,,"The ornamental design for an automotive wheel, as shown and described.",,Alive,Alive,,2023.04.14,"USD470812,USD528062,USD551148,USD553070,USD558115,USD567736,USD569778,USD573933,USD578458,USD579845,USD582334,USD582831,USD585353",,"USD601075,USD610065,USD624863,USD625238,USD625242,USD629347,USD631419,USD633028,USD638763,USD639222,USD649101,USD654005,USD655666,USD664907,USD670227,USD678159,USD678160,USD678162,USD680933,USD680936,USD683686,USD686958,USD686959,USD688187,USD688615,USD722548,USD722939,USD727829,USD733025,USD737191,USD741770,USD746753,USD763163,USD783498,USD790427",13,35,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590315__?key=lEQ7cgkI3IuhPoFpecK1f2rdcF4wNDtb&site=FOCUST3-KR
1482,USD590314,Front face of a vehicle wheel,,,,Bayerische Motoren Werke Aktiengesellschaft,,DE,BAYERISCHE MOTOREN WERKE AG,Hettler; Jan,1216,,D12/209,US29/300127,2008.02.22,,,,,USD590314,2009.04.14,DE 40704326 (2007.08.24),,,,,"USD590314S, USD597464S",Cadmus; Stacia,Crowell & Moring LLP,,1,1,,,"The ornamental design for a front face of a vehicle wheel, as shown and described.",,Alive,Alive,BAYERISCHE MOTOREN WERKE AG,2023.04.14,"USD421417,USD433659,USD487418,USD513487,USD517970,USD522432,USD530257,USD536654,USD563305,USD580840,USD580842",,"USD598836,USD603318,USD605999,USD607396,USD608710,USD609623,USD614106,USD619950,USD620417,USD621319,USD625235,USD625237,USD627287,USD627700,USD629346,USD631813,USD635078,USD643355,USD644976,USD645389,USD651550,USD654006,USD654420,USD654843,USD658101,USD658102,USD660217,USD663668,USD666952,USD671473,USD680482,USD683682,USD684519,USD686131,USD686132,USD703599,USD720272,USD740192,USD744398,USD746755,USD751483,USD753571,USD758943,USD759559,USD765575,USD769166,USD780654,USD789859",11,48,,,A0,7,,,2,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590314__?key=lEQ7cgkI3IuhPoFpecK1f25Y578vuZ3n&site=FOCUST3-KR
1483,USD590313,Front face of a vehicle wheel,,,,Bayerische Motoren Werke Aktiengesellschaft,,DE,BAYERISCHE MOTOREN WERKE AG,Baum; Stephan,1216,,D12/209,US29/287332,2007.07.24,,,,,USD590313,2009.04.14,DE 4 07 00 466 (2007.01.25),,,,,"USD567165S, USD568224S, USD584210S, USD590313S, USD590757S",Brooks; Cathron C|Murphy; Austin,Crowell & Moring LLP,,1,1,,,"The ornamental design for a front face of a vehicle wheel, as shown and described.",,Alive,Alive,BAYERISCHE MOTOREN WERKE AG,2023.04.14,"USD339561,USD402251,USD402951,USD405749,USD416849,USD432974,USD450649,USD453494,USD486769,USD502677,USD521438,USD523799,USD528061,USD530256,USD532739,USD534473,USD542728,USD553069,USD558118,USD570761",,"USD597919,USD608710,USD616800,USD625676,USD632239,USD634689,USD638340,USD643355,USD644976,USD663669,USD673099,USD675969,USD678830,USD684914,USD696175,USD696176,USD730798,USD741242,USD741773,USD781202,USD787415",20,21,,,A+,8,,,5,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590313__?key=lEQ7cgkI3IuhPoFpecK1f6pwVJ9Elxhq&site=FOCUST3-KR
1484,USD590309,Pedal cover for a vehicle,,,,Kubota Corporation,,JP,KUBOTA CORP,Higashikawa; Yoshitaka,1216,,D12/174,US29/255258,2006.03.06,,,,,USD590309,2009.04.14,JP 2005027238 (2005.09.21),,,,,USD590309S,Snapp; Sandra,The Webb Law Firm,,1,1,,,"The ornamental design for a pedal cover for a vehicle, as shown and described.",,Alive,Alive,KUBOTA CORP,2023.04.14,"USD48341,US1455675,US1895986,USD155383,USD192853,USD203811,USD260508,USD444435,USD444436,USD447102,US6622592,USD540227",,"USD633420,USD643790,USD770343,USD770344,USD770345,USD770346",12,6,,,A+,8,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590309__?key=lEQ7cgkI3IuhPoFpecK1fw4YdCHSRxUt&site=FOCUST3-KR
1485,USD590308,Rear bumper for a vehicle,,,,Daimler AG,,DE,DAIMLERCHRYSLER CORP,Futschik; Hans-Dieter|Handt; Stefan|Koehl; Steffen|Pfisterer; Frank,1216,,D12/169,US29/300895,2008.05.27,,,,,USD590308,2009.04.14,DE 40705900 (2007.11.28),,,,,"USD589414S, USD590308S, USD623782S, USD641505S",Brown; Melody N,Crowell & Moring LLP,,1,1,,,"The ornamental design for a rear bumper for a vehicle, as shown and described.",,Alive,Alive,DAIMLERCHRYSLER CORP,2023.04.14,"USD537392,USD544404,USD545734,USD563842",,"USD603311,USD608702,USD610498,USD610499,USD624470,USD624856,USD628943,USD633013,USD640613,USD644970,USD708994,USD711294,USD734222,USD744913,USD745445,USD753032,USD792291",4,17,,,AA,9,,,4,1,4,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590308__?key=lEQ7cgkI3IuhPoFpecK1f%2b1I3HlAWAon&site=FOCUST3-KR
1486,USD590305,"Rear portion of a vehicle, toy, and/or other replicas",,,,Daimler AG,,DE,DAIMLERCHRYSLER CORP,Pfeiffer; Peter|Bauer; Karlheinz|Bollmann; Juergen|Wagener; Gorden,1216,,"D12/164, D12/196",US29/287935,2007.10.03,,,,,USD590305,2009.04.14,,,,,,USD590305S,Brown; Melody N,Crowell & Moring LLP,,1,1,,,"The ornamental design for a rear portion of a vehicle, toy, and/or other replicas, as shown and described.",,Alive,Alive,DAIMLERCHRYSLER CORP,2023.04.14,"USD556662,USD556663,USD558658,USD569315",,"USD598822,USD659602,USD731933,USD757611,USD759552,USD775029,USD775557",4,7,,,AA,9,,,1,1,4,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590305__?key=lEQ7cgkI3IuhPoFpecK1fyTTt5a7HyfB&site=FOCUST3-KR
1487,USD590304,Personal mobility vehicle,,,,Hoveround Corporation,,US,HOVEROUND CORP,Kruse; Thomas E.,1212,,D12/131,US29/286087,2007.04.23,,,,,USD590304,2009.04.14,,,,,,USD590304S,Rademaker; Charles A|Hanson; Charles D,"Fisher, III, Arthur W.",,1,1,,,"I claim the ornamental design for a personal mobility vehicle, as shown and described.",,Alive,Alive,ORIX CORP CAPITAL INC,2023.04.14,"USD287836,USD356530,USD404693,US6152478,USD462639,US6938923,US7040429,USD569769,US7370876",,"US8616309,US8727048,US8919797,US8931583,US9468571,US9532912,USD632229,USD635492,USD635493,USD652357,USD653176,USD654408,USD656070,USD673083,USD687744,USD693744,USD720659,USD720660,USD720661,USD720663,USD721017,USD722286,USD735021,USD735622,USD744380,USD749019,USD754569,USD765562,USD765563,USD765839,USD770334,USD770946,USD770947,USD784208,USD784210",9,35,,,B0,4,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590304__?key=lEQ7cgkI3IuhPoFpecK1f56%2ftbwFcTQx&site=FOCUST3-KR
1488,USD590299,Vehicle,,,,Volkswagen AG,,DE,VOLKSWAGEN AG,Bischoff; Klaus|Ingenlath; Thomas|Felske; Christian,1208,,D12/091,US29/307156,2008.04.03,,,,,USD590299,2009.04.14,EM 801782 (2007.10.03),,,,,USD590299S,Brown; Melody N,"Lucas & Mercanti, LLP",,1,1,,,"The ornamental design for a vehicle, as shown and described.",,Alive,Alive,VOLKSWAGEN AG,2023.04.14,"USD522407,USD555038,USD568791,USD577318",,"USD605980,USD610039,USD620394,USD620840,USD624456,USD626454,USD701149,USD701150,USD706689,USD707159,USD720256",4,11,,,B+,5,,,1,1,3,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590299__?key=lEQ7cgkI3IuhPoFpecK1f0TjboJU25B4&site=FOCUST3-KR
1489,USD590081,Vehicle lamp,,,,"Honda Motor Co., Ltd.",,JP,HONDA MOTOR CO LTD,Osborne; Art|Snow; Kenneth,2606,,D26/028,US29/323947,2008.09.03,,,,,USD590081,2009.04.07,US 29/304811 (2008.03.07),,,,,"USD586263S, USD589415S, USD589416S, USD589417S, USD589860S, USD590080S, USD590081S",Jackson; Marcus A.,"Plumsea Law Group, LLC; Duell, Mark E.",,1,1,,,"The ornamental design for a vehicle lamp, as shown and described.",,Alive,Alive,HONDA MOTOR CO LTD,2023.04.07,"USD549363,USD552769,USD560292",,,3,0,,,A-,6,,,7,1,2,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590081__?key=lEQ7cgkI3IuhPoFpecK1fxvidbMh%2f0kx&site=FOCUST3-KR
1490,USD590080,Vehicle lamp,,,,"Honda Motor Co., Ltd.",,JP,HONDA MOTOR CO LTD,Osborne; Art|Snow; Kenneth,2606,,D26/028,US29/323944,2008.09.03,,,,,USD590080,2009.04.07,US 29/304811 (2008.03.07),,,,,"USD586263S, USD589415S, USD589416S, USD589417S, USD589860S, USD590080S, USD590081S",Jackson; Marcus A.,"Plumsea Law Group, LLC; Duell, Mark E.",,1,1,,,"The ornamental design for a vehicle lamp, as shown and described.",,Alive,Alive,HONDA MOTOR CO LTD,2023.04.07,"USD546486,USD554780,USD556349",,USD777357,3,1,,,A-,6,,,7,1,2,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590080__?key=lEQ7cgkI3IuhPoFpecK1f%2f%2be9yYqjyPQ&site=FOCUST3-KR
1491,USD590079,Blinker for a vehicle,,,,Kubota Corporation,,JP,KUBOTA CORP,Higashikawa; Yoshitaka,2606,,D26/028,US29/255034,2006.03.02,,,,,USD590079,2009.04.07,JP 2005028074 (2005.09.28),,,,,USD590079S,Simmons; Ian|Sipos; Dana L,The Webb Law Firm,,1,1,,,"The ornamental design of a blinker for a vehicle, as shown and described.",,Alive,Alive,KUBOTA CORP,2023.04.07,"US2343754,USD222630,USD346232,USD352123,USD374944",,"USD602184,USD619277,USD745714,USD756550,USD776844",5,5,,,A+,8,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590079__?key=lEQ7cgkI3IuhPoFpecK1fxj97YPqLOvH&site=FOCUST3-KR
1492,USD590023,Holiday car magnet,,,,,,,,Heise; Karen,2003,,"D20/032, D12/400, D20/025, D20/040",US29/275148,2006.12.14,,,,,USD590023,2009.04.07,,,,,,USD590023S,Seeger; Janice E|Calabrese; Mary Ann,"Stein, Steven B.",,1,1,,,"The ornamental design for a holiday car magnet, as shown.",,Alive,Alive,,2023.04.07,"USD67648,US2648151,USD406178,USD425069,USD439214,USD525311,USD546270,US7300193,USD557973",,"USD707616,USD708093,USD728691,USD728692,USD769847",9,5,,,,,,,1,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0590023__?key=lEQ7cgkI3IuhPoFpecK1fwlu0Z5%2byUsY&site=FOCUST3-KR
1493,USD589906,Remote control system for keyless access of a vehicle,,,,Delphi France SAS,,FR,DELPHI FRANCE SAS,Tupinier; Laurent,1403,,D13/168,US29/308123,2008.05.28,,,,,USD589906,2009.04.07,EM 000874342-0005 (2008.02.07),,,,,"USD585003S, USD589462S, USD589906S",Sikder; Selina,"Abelman, Frayne & Schwab",,1,1,,,"The ornamental design for a remote control system for keyless access of a vehicle, as shown and described.",,Alive,Alive,DELPHI FRANCE SAS,2023.04.07,"USD377459,USD436595,USD463991,USD495665,USD497880,USD500015,USD529448,USD533513,USD575747",,"USD619546,USD624028,USD667381,USD741817,USD741818,USD750575",9,6,,,B0,4,,,3,1,1,0,US,N,,http://service.wisdomain.net/FullTextService/View/USD0589906__?key=lEQ7cgkI3ItPK2py2TYdRj5yvmCovw5r&site=FOCUST3-KR
